id,match_number,home_team_id,away_team_id,city_id,stage_id,kickoff_at,match_label,match_date,home_name,home_code,home_group,home_placeholder,away_name,away_code,away_group,away_placeholder,city_name,country,stadium,home_rank,home_points,away_rank,away_points,rank_diff,points_diff,has_teams,is_mexico
61,61,36,33,2,1,2026-06-26T19:00:00Z,Group I,2026-06-26,Norway,NOR,I,FALSE,France,FRA,I,FALSE,Boston,USA,Gillette Stadium,32,1553.14,3,1870,29,-316.8599999999999,TRUE,FALSE
62,62,34,35,12,1,2026-06-26T19:00:00Z,Group I,2026-06-26,Senegal,SEN,I,FALSE,Winner FIFA Playoff 2,FP02,I,TRUE,Toronto,Canada,BMO Field,12,1706.83,,,-38,306.8299999999999,FALSE,FALSE
63,63,30,31,4,1,2026-06-27T01:00:00Z,Group H,2026-06-27,Cabo Verde,CPV,H,FALSE,Saudi Arabia,KSA,H,FALSE,Houston,USA,NRG Stadium,67,1370.49,61,1429.48,6,-58.99000000000001,TRUE,FALSE
64,64,32,29,14,1,2026-06-27T02:00:00Z,Group H,2026-06-27,Uruguay,URU,H,FALSE,Spain,ESP,H,FALSE,Guadalajara,Mexico,Estadio Akron,17,1672.62,1,1877.18,16,-204.56000000000017,TRUE,TRUE
65,65,26,27,11,1,2026-06-27T06:00:00Z,Group G,2026-06-27,Egypt,EGY,G,FALSE,IR Iran,IRN,G,FALSE,Seattle,USA,Lumen Field,31,1556.71,20,1617.02,11,-60.309999999999945,TRUE,FALSE
66,66,28,25,13,1,2026-06-27T06:00:00Z,Group G,2026-06-27,New Zealand,NZL,G,FALSE,Belgium,BEL,G,FALSE,Vancouver,Canada,BC Place,85,1279.25,9,1730.71,76,-451.46000000000004,TRUE,FALSE
67,67,48,45,8,1,2026-06-27T21:00:00Z,Group L,2026-06-27,Panama,PAN,L,FALSE,England,ENG,L,FALSE,New York/New Jersey,USA,MetLife Stadium,33,1539.47,4,1834.12,29,-294.64999999999986,TRUE,FALSE
68,68,46,47,9,1,2026-06-27T21:00:00Z,Group L,2026-06-27,Croatia,CRO,L,FALSE,Ghana,GHA,L,FALSE,Philadelphia,USA,Lincoln Financial Field,11,1716.88,72,1351.09,-61,365.7900000000002,TRUE,FALSE
69,69,44,41,7,1,2026-06-27T23:30:00Z,Group K,2026-06-27,Colombia,COL,K,FALSE,Portugal,POR,K,FALSE,Miami,USA,Hard Rock Stadium,14,1701.3,6,1760.38,8,-59.080000000000155,TRUE,FALSE
70,70,42,43,1,1,2026-06-27T23:30:00Z,Group K,2026-06-27,Winner FIFA Playoff 1,FP01,K,TRUE,Uzbekistan,UZB,K,FALSE,Atlanta,USA,Mercedes-Benz Stadium,,,52,1462.03,-2,-62.02999999999997,FALSE,FALSE
71,71,38,39,5,1,2026-06-28T03:00:00Z,Group J,2026-06-28,Algeria,ALG,J,FALSE,Austria,AUT,J,FALSE,Kansas City,USA,Arrowhead Stadium,28,1560.91,24,1585.51,4,-24.59999999999991,TRUE,FALSE
